type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,077623,振樺電群益1C購02,TW22Z0776239,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077624,臺股指群益1C購06,TW22Z0776247,2022/06/17,上市,,RWICCE
上市認購(售)權證,077625,臺股指群益1C購07,TW22Z0776254,2022/06/17,上市,,RWICCE
上市認購(售)權證,077626,金融類群益1C購01,TW22Z0776262,2022/06/17,上市,,RWICCE
上市認購(售)權證,077627,滬深2X凱基26購01,TW22Z0776270,2022/06/17,上市,,RWBCCA
上市認購(售)權證,077628,元油反凱基26購01,TW22Z0776288,2022/06/17,上市,,RWBCCA
上市認購(售)權證,077629,元油反凱基26購02,TW22Z0776296,2022/06/17,上市,,RWBCCA
上市認購(售)權證,07762P,欣興群益22售02,TW22Z07762P7,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077630,華新凱基21購05,TW22Z0776304,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077631,大成鋼凱基1C購03,TW22Z0776312,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077632,華通凱基1C購05,TW22Z0776320,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077633,鴻海凱基21購04,TW22Z0776338,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077634,台積電凱基1C購23,TW22Z0776346,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077635,台積電凱基1C購24,TW22Z0776353,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077636,台積電凱基1C購25,TW22Z0776361,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077637,聯發科凱基21購05,TW22Z0776379,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077638,長榮凱基21購14,TW22Z0776387,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077639,陽明凱基1C購11,TW22Z0776395,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07763P,貿聯群益22售02,TW22Z07763P5,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077640,華航凱基1C購10,TW22Z0776403,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077641,大立光凱基1C購17,TW22Z0776411,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077642,大立光凱基21購05,TW22Z0776429,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077643,聯詠凱基1C購06,TW22Z0776437,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077644,智原凱基1C購03,TW22Z0776445,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077645,欣興凱基1C購11,TW22Z0776452,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077646,世芯凱基1C購04,TW22Z0776460,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077647,帆宣凱基1C購01,TW22Z0776478,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077648,長榮國票21購04,TW22Z0776486,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077649,奇鋐國票21購03,TW22Z0776494,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07764P,南電群益22售02,TW22Z07764P3,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077650,智原國票21購03,TW22Z0776502,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077651,揚明光國票21購01,TW22Z0776510,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077652,世芯國票21購03,TW22Z0776528,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077653,世芯國票22購01,TW22Z0776536,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077654,貿聯國票21購01,TW22Z0776544,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077655,天鈺國票21購02,TW22Z0776551,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077656,世紀鋼國票21購03,TW22Z0776569,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077657,台積電國泰22購01,TW22Z0776577,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077658,欣興兆豐22購01,TW22Z0776585,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077659,台積電統一22購06,TW22Z0776593,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07765P,南電群益22售03,TW22Z07765P0,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077660,聯發科統一21購08,TW22Z0776601,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077661,長榮統一21購08,TW22Z0776619,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077662,長榮統一23購12,TW22Z0776627,2022/06/17,上市,,RWSCCA
